Latitude (decimal degrees):	38.110
Longitude (decimal degrees):	15.650
Elevation (m):	67
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int,WS60m,T_cell
20190506:1110,451.0,68.15,12.13,6.14,0.0,7.89,26.2
20190506:1210,400.0,62.74,12.13,6.21,0.0,7.98,24.6
20190506:1310,375.0,53.24,12.17,6.69,0.0,8.60,23.9
20190506:1410,307.0,42.12,12.13,6.76,0.0,8.69,21.7
20190506:1510,76.0,30.43,11.9,6.83,0.0,8.78,14.3
20190506:1610,177.0,18.65,11.09,6.34,0.0,8.15,16.6
20190506:1710,71.0,7.08,10.08,4.9,0.0,6.30,12.3
20190506:1810,0.0,0.0,9.51,4.9,0.0,6.30,9.5
20190506:1910,0.0,0.0,8.21,3.45,0.0,4.43,8.2
20190506:2010,0.0,0.0,8.32,4.0,0.0,5.14,8.3
20190506:2110,0.0,0.0,7.93,3.79,0.0,4.87,7.9
20190506:2210,0.0,0.0,7.98,3.79,0.0,4.87,8.0
20190506:2310,0.0,0.0,7.93,3.59,0.0,4.61,7.9
20190507:0010,0.0,0.0,7.69,3.52,0.0,4.52,7.7
20190507:0110,0.0,0.0,7.93,3.31,0.0,4.25,7.9
20190507:0210,0.0,0.0,8.17,3.1,0.0,3.98,8.2
20190507:0310,0.0,0.0,8.28,3.31,0.0,4.25,8.3
20190507:0410,3.0,2.01,8.32,3.31,0.0,4.25,8.4
20190507:0510,136.0,13.37,8.6,3.03,0.0,3.89,12.8
20190507:0610,310.0,25.08,9.67,3.66,0.0,4.70,19.4
20190507:0710,457.0,36.86,11.39,5.31,0.0,6.82,25.7
20190507:0810,140.0,48.34,12.21,5.45,0.0,7.00,16.6
20190507:0910,517.0,58.83,12.97,5.38,0.0,6.91,29.1
20190507:1010,156.0,66.63,13.74,5.31,0.0,6.82,18.6
20190507:1110,921.01,68.42,14.02,5.17,0.0,6.64,42.8
20190507:1210,820.0,62.96,14.45,5.1,0.0,6.55,40.1
20190507:1310,796.0,53.41,14.48,5.1,0.0,6.55,39.4
20190507:1410,645.0,42.27,13.93,5.03,0.0,6.46,34.1
20190507:1510,471.0,30.57,13.32,4.9,0.0,6.30,28.0
20190507:1610,276.0,18.8,12.36,4.48,0.0,5.76,21.0
20190507:1710,66.0,7.23,11.44,3.86,0.0,4.96,13.5
20190507:1810,0.0,0.0,10.59,3.38,0.0,4.34,10.6
20190507:1910,0.0,0.0,9.74,3.17,0.0,4.07,9.7
20190507:2010,0.0,0.0,9.39,2.76,0.0,3.55,9.4
20190507:2110,0.0,0.0,8.99,2.41,0.0,3.10,9.0
20190507:2210,0.0,0.0,8.68,2.28,0.0,2.93,8.7
20190507:2310,0.0,0.0,8.46,2.34,0.0,3.01,8.5
20190508:0010,0.0,0.0,8.27,2.41,0.0,3.10,8.3
20190508:0110,0.0,0.0,8.8,2.41,0.0,3.10,8.8
20190508:0210,0.0,0.0,8.67,2.28,0.0,2.93,8.7
20190508:0310,0.0,0.0,8.49,2.0,0.0,2.57,8.5
20190508:0410,6.0,2.19,8.27,1.79,0.0,2.30,8.5
20190508:0510,178.0,13.55,8.59,1.45,0.0,1.86,14.2
20190508:0610,377.0,25.25,10.6,1.59,0.0,2.04,22.4
20190508:0710,577.0,37.03,12.13,1.24,0.0,1.59,30.2
20190508:0810,757.0,48.53,13.25,0.69,0.0,0.89,36.9
20190508:0910,868.0,59.04,14.25,0.76,0.0,0.98,41.4
20190508:1010,943.01,66.89,15.1,1.31,0.0,1.68,44.6
20190508:1110,946.01,68.69,16.05,1.31,0.0,1.68,45.6
20190508:1210,930.01,63.18,16.9,1.38,0.0,1.77,46.0
20190508:1310,818.0,53.58,17.47,1.45,0.0,1.86,43.0
20190508:1410,671.0,42.42,17.61,1.45,0.0,1.86,38.6
20190508:1510,461.0,30.72,17.4,1.45,0.0,1.86,31.8
20190508:1610,186.0,18.94,16.68,1.52,0.0,1.95,22.5
20190508:1710,75.0,7.39,15.3,2.21,0.0,2.84,17.6
20190508:1810,0.0,0.0,13.54,2.28,0.0,2.93,13.5
20190508:1910,0.0,0.0,11.8,2.41,0.0,3.10,11.8
20190508:2010,0.0,0.0,11.18,2.34,0.0,3.01,11.2
20190508:2110,0.0,0.0,10.72,2.48,0.0,3.19,10.7
20190508:2210,0.0,0.0,10.49,2.55,0.0,3.28,10.5
20190508:2310,0.0,0.0,10.42,2.69,0.0,3.46,10.4
20190509:0010,0.0,0.0,10.54,2.69,0.0,3.46,10.5
20190509:0110,0.0,0.0,10.65,2.83,0.0,3.64,10.7
20190509:0210,0.0,0.0,10.78,3.1,0.0,3.98,10.8
20190509:0310,0.0,0.0,10.67,3.1,0.0,3.98,10.7
20190509:0410,3.0,2.37,10.51,3.1,0.0,3.98,10.6
20190509:0510,81.0,13.72,11.02,3.03,0.0,3.89,13.6
20190509:0610,233.0,25.42,12.54,3.66,0.0,4.70,19.8
20190509:0710,556.0,37.2,14.06,4.07,0.0,5.23,31.4
20190509:0810,386.0,48.7,15.44,4.14,0.0,5.32,27.5
20190509:0910,573.0,59.25,16.73,4.07,0.0,5.23,34.6
20190509:1010,552.0,67.14,17.38,3.93,0.0,5.05,34.6
20190509:1110,586.0,68.95,18.53,3.52,0.0,4.52,36.8
20190509:1210,818.0,63.39,19.32,3.17,0.0,4.07,44.9
20190509:1310,720.0,53.75,19.94,2.76,0.0,3.55,42.4
20190509:1410,594.0,42.57,20.01,2.0,0.0,2.57,38.6
20190509:1510,414.0,30.86,20.04,1.31,0.0,1.68,33.0
20190509:1610,236.0,19.08,20.13,1.03,0.0,1.32,27.5
20190509:1710,56.0,7.54,19.62,1.1,0.0,1.41,21.4
20190509:1810,0.0,0.0,18.16,2.0,0.0,2.57,18.2
20190509:1910,0.0,0.0,16.56,2.76,0.0,3.55,16.6
20190509:2010,0.0,0.0,15.85,3.03,0.0,3.89,15.8
20190509:2110,0.0,0.0,15.11,2.62,0.0,3.37,15.1
20190509:2210,0.0,0.0,14.51,2.41,0.0,3.10,14.5
20190509:2310,0.0,0.0,14.3,2.55,0.0,3.28,14.3
20190510:0010,0.0,0.0,13.65,2.62,0.0,3.37,13.7
20190510:0110,0.0,0.0,13.3,2.76,0.0,3.55,13.3
20190510:0210,0.0,0.0,13.17,2.83,0.0,3.64,13.2
20190510:0310,0.0,0.0,13.1,2.9,0.0,3.73,13.1
20190510:0410,7.0,2.55,12.86,2.97,0.0,3.82,13.1
20190510:0510,134.0,13.88,13.11,2.69,0.0,3.46,17.3
20190510:0610,339.0,25.57,14.51,3.03,0.0,3.89,25.1
20190510:0710,563.0,37.36,15.63,3.79,0.0,4.87,33.2
20190510:0810,741.0,48.88,16.65,4.07,0.0,5.23,39.8
20190510:0910,869.0,59.45,17.48,4.34,0.0,5.58,44.6
20190510:1010,968.01,67.39,17.98,4.69,0.0,6.03,48.2
20190510:1110,962.01,69.21,18.51,5.1,0.0,6.55,48.6
20190510:1210,909.01,63.6,18.46,5.38,0.0,6.91,46.9
20190510:1310,810.0,53.92,18.21,5.31,0.0,6.82,43.5
20190510:1410,653.0,42.71,17.73,5.24,0.0,6.73,38.1
20190510:1510,471.0,31.0,17.02,5.03,0.0,6.46,31.7
20190510:1610,266.0,19.23,15.95,4.9,0.0,6.30,24.3
20190510:1710,79.0,7.7,14.77,4.55,0.0,5.85,17.2
20190510:1810,0.0,0.0,13.63,4.07,0.0,5.23,13.6
20190510:1910,0.0,0.0,12.8,3.66,0.0,4.70,12.8
20190510:2010,0.0,0.0,12.44,3.52,0.0,4.52,12.4
20190510:2110,0.0,0.0,12.31,3.45,0.0,4.43,12.3
20190510:2210,0.0,0.0,12.25,3.38,0.0,4.34,12.2
20190510:2310,0.0,0.0,11.89,3.24,0.0,4.16,11.9
20190511:0010,0.0,0.0,11.72,3.1,0.0,3.98,11.7
20190511:0110,0.0,0.0,11.22,2.97,0.0,3.82,11.2
20190511:0210,0.0,0.0,10.95,2.62,0.0,3.37,10.9
20190511:0310,0.0,0.0,10.76,2.41,0.0,3.10,10.8
20190511:0410,12.0,2.72,10.63,2.28,0.0,2.93,11.0
20190511:0510,187.0,14.04,11.24,1.93,0.0,2.48,17.1
20190511:0610,386.0,25.73,13.59,1.86,0.0,2.39,25.7
20190511:0710,582.0,37.51,16.36,1.17,0.0,1.50,34.5
20190511:0810,757.0,49.04,18.15,0.41,0.0,0.53,41.8
20190511:0910,882.0,59.65,19.38,1.17,0.0,1.50,46.9
20190511:1010,936.01,67.63,20.3,1.31,0.0,1.68,49.6
20190511:1110,950.01,69.47,20.98,1.38,0.0,1.77,50.7
20190511:1210,903.01,63.8,21.44,1.52,0.0,1.95,49.7
20190511:1310,827.0,54.09,21.56,1.52,0.0,1.95,47.4
20190511:1410,607.0,42.86,21.24,1.72,0.0,2.21,40.2
20190511:1510,413.0,31.14,20.6,1.52,0.0,1.95,33.5
20190511:1610,247.0,19.37,19.64,1.66,0.0,2.13,27.4
20190511:1710,84.0,7.85,18.15,2.07,0.0,2.66,20.8
20190511:1810,0.0,0.0,16.4,2.0,0.0,2.57,16.4
20190511:1910,0.0,0.0,14.81,1.66,0.0,2.13,14.8
20190511:2010,0.0,0.0,14.08,1.72,0.0,2.21,14.1
20190511:2110,0.0,0.0,13.59,1.66,0.0,2.13,13.6
20190511:2210,0.0,0.0,13.24,1.52,0.0,1.95,13.2
20190511:2310,0.0,0.0,12.81,1.45,0.0,1.86,12.8
20190512:0010,0.0,0.0,12.52,1.45,0.0,1.86,12.5
20190512:0110,0.0,0.0,12.04,1.38,0.0,1.77,12.0
20190512:0210,0.0,0.0,11.62,1.17,0.0,1.50,11.6
20190512:0310,0.0,0.0,11.77,0.97,0.0,1.25,11.8
20190512:0410,14.0,2.89,11.31,1.17,0.0,1.50,11.7
20190512:0510,162.0,14.19,12.7,1.59,0.0,2.04,17.8
20190512:0610,247.0,25.88,14.66,1.66,0.0,2.13,22.4
20190512:0710,250.0,37.66,15.48,1.1,0.0,1.41,23.3
20190512:0810,533.0,49.2,16.57,0.48,0.0,0.62,33.2
20190512:0910,868.0,59.84,17.18,1.38,0.0,1.77,44.3
20190512:1010,85.0,67.87,17.29,1.45,0.0,1.86,19.9
20190512:1110,113.0,69.72,17.2,1.52,0.0,1.95,20.7
20190512:1210,430.0,64.01,17.48,1.66,0.0,2.13,30.9
20190512:1310,627.0,54.25,17.09,1.93,0.0,2.48,36.7
20190512:1410,145.0,43.0,14.35,2.34,0.0,3.01,18.9
20190512:1510,202.0,31.27,14.99,2.83,0.0,3.64,21.3
20190512:1610,214.0,19.51,14.22,2.48,0.0,3.19,20.9
20190512:1710,75.0,8.0,13.81,2.62,0.0,3.37,16.2
20190512:1810,0.0,0.0,13.01,2.55,0.0,3.28,13.0
20190512:1910,0.0,0.0,11.6,2.83,0.0,3.64,11.6
20190512:2010,0.0,0.0,11.17,2.34,0.0,3.01,11.2
20190512:2110,0.0,0.0,10.79,2.21,0.0,2.84,10.8
20190512:2210,0.0,0.0,10.48,2.21,0.0,2.84,10.5
20190512:2310,0.0,0.0,10.14,2.28,0.0,2.93,10.1
20190513:0010,0.0,0.0,9.92,2.0,0.0,2.57,9.9
20190513:0110,0.0,0.0,9.79,2.07,0.0,2.66,9.8
20190513:0210,0.0,0.0,9.5,2.07,0.0,2.66,9.5
20190513:0310,0.0,0.0,9.49,1.93,0.0,2.48,9.5
20190513:0410,11.0,3.05,9.37,1.86,0.0,2.39,9.7
20190513:0510,107.0,14.34,9.69,1.79,0.0,2.30,13.0
20190513:0610,330.0,26.02,10.46,2.14,0.0,2.75,20.8
20190513:0710,568.0,37.81,11.66,1.93,0.0,2.48,29.4
20190513:0810,595.0,49.36,12.87,1.45,0.0,1.86,31.5
20190513:0910,757.0,60.02,14.0,0.9,0.0,1.16,37.7
20190513:1010,883.0,68.1,14.76,0.76,0.0,0.98,42.4
20190513:1110,907.0,69.96,15.18,0.97,0.0,1.25,43.5
20190513:1210,342.0,64.21,15.5,0.07,0.0,0.09,26.2
20190513:1310,645.0,54.41,14.11,0.97,0.0,1.25,34.3
20190513:1410,521.0,43.14,13.11,0.97,0.0,1.25,29.4
20190513:1510,339.0,31.41,12.18,1.17,0.0,1.50,22.8
20190513:1610,258.0,19.65,11.34,1.52,0.0,1.95,19.4
20190513:1710,89.0,8.15,11.25,1.72,0.0,2.21,14.0
20190513:1810,0.0,0.0,10.97,1.66,0.0,2.13,11.0
20190513:1910,0.0,0.0,10.31,0.62,0.0,0.80,10.3
20190513:2010,0.0,0.0,9.67,0.76,0.0,0.98,9.7
20190513:2110,0.0,0.0,9.09,0.83,0.0,1.07,9.1
20190513:2210,0.0,0.0,8.46,1.1,0.0,1.41,8.5
20190513:2310,0.0,0.0,8.02,1.24,0.0,1.59,8.0
20190514:0010,0.0,0.0,7.78,1.24,0.0,1.59,7.8
20190514:0110,0.0,0.0,7.46,1.31,0.0,1.68,7.5
20190514:0210,0.0,0.0,7.32,1.31,0.0,1.68,7.3
20190514:0310,0.0,0.0,7.37,1.31,0.0,1.68,7.4
20190514:0410,15.0,3.2,7.18,1.31,0.0,1.68,7.6
20190514:0510,168.0,14.49,8.57,1.03,0.0,1.32,13.8
20190514:0610,300.0,26.16,10.48,1.38,0.0,1.77,19.9
20190514:0710,219.0,37.95,11.93,1.31,0.0,1.68,18.8
20190514:0810,612.0,49.51,12.69,1.31,0.0,1.68,31.8
20190514:0910,162.0,60.2,13.59,0.83,0.0,1.07,18.7
20190514:1010,888.0,68.32,14.02,0.62,0.0,0.80,41.8
20190514:1110,507.0,70.2,14.29,0.21,0.0,0.27,30.1
20190514:1210,433.0,64.4,14.55,0.48,0.0,0.62,28.1
20190514:1310,419.0,54.56,14.17,0.97,0.0,1.25,27.3
20190514:1410,59.0,43.28,13.6,0.9,0.0,1.16,15.4
20190514:1510,271.0,31.55,12.88,1.17,0.0,1.50,21.3
20190514:1610,269.0,19.79,12.02,1.79,0.0,2.30,20.4
20190514:1710,64.0,8.29,11.55,1.72,0.0,2.21,13.6
20190514:1810,0.0,0.0,10.92,1.72,0.0,2.21,10.9
20190514:1910,0.0,0.0,10.0,0.9,0.0,1.16,10.0
20190514:2010,0.0,0.0,9.62,0.69,0.0,0.89,9.6
20190514:2110,0.0,0.0,9.07,1.03,0.0,1.32,9.1
20190514:2210,0.0,0.0,8.75,1.31,0.0,1.68,8.8
20190514:2310,0.0,0.0,8.03,1.45,0.0,1.86,8.0
20190515:0010,0.0,0.0,8.12,1.45,0.0,1.86,8.1
20190515:0110,0.0,0.0,7.5,1.52,0.0,1.95,7.5
20190515:0210,0.0,0.0,7.37,1.45,0.0,1.86,7.4
20190515:0310,0.0,0.0,7.52,1.52,0.0,1.95,7.5
20190515:0410,4.0,3.35,6.99,1.59,0.0,2.04,7.1
20190515:0510,77.0,14.63,8.04,1.17,0.0,1.50,10.4
20190515:0610,314.0,26.29,10.83,1.24,0.0,1.59,20.6
20190515:0710,587.0,38.08,12.1,0.62,0.0,0.80,30.4
20190515:0810,747.0,49.65,13.18,0.21,0.0,0.27,36.5
20190515:0910,669.0,60.37,14.1,0.83,0.0,1.07,35.0
20190515:1010,715.0,68.54,14.95,1.66,0.0,2.13,37.3
20190515:1110,575.0,70.44,15.16,1.93,0.0,2.48,33.1
20190515:1210,336.0,64.59,14.72,2.14,0.0,2.75,25.2
20190515:1310,172.0,54.72,14.67,2.21,0.0,2.84,20.0
20190515:1410,271.0,43.42,14.55,1.79,0.0,2.30,23.0
20190515:1510,234.0,31.68,13.69,1.93,0.0,2.48,21.0
20190515:1610,183.0,19.92,12.59,1.86,0.0,2.39,18.3
20190515:1710,80.0,8.44,11.93,1.38,0.0,1.77,14.4
20190515:1810,0.0,0.0,11.47,0.9,0.0,1.16,11.5
20190515:1910,0.0,0.0,11.25,0.69,0.0,0.89,11.2
20190515:2010,0.0,0.0,10.63,0.62,0.0,0.80,10.6
20190515:2110,0.0,0.0,10.72,0.41,0.0,0.53,10.7
20190515:2210,0.0,0.0,9.37,0.62,0.0,0.80,9.4
20190515:2310,0.0,0.0,8.88,0.9,0.0,1.16,8.9
20190516:0010,0.0,0.0,9.35,1.31,0.0,1.68,9.3
20190516:0110,0.0,0.0,8.06,1.66,0.0,2.13,8.1
20190516:0210,0.0,0.0,7.68,2.0,0.0,2.57,7.7
20190516:0310,0.0,0.0,7.63,2.34,0.0,3.01,7.6
20190516:0410,13.0,3.5,8.09,2.55,0.0,3.28,8.5
20190516:0510,17.0,14.76,10.21,2.62,0.0,3.37,10.7
20190516:0610,35.0,26.42,10.73,2.97,0.0,3.82,11.8
20190516:0710,52.0,38.21,11.47,3.24,0.0,4.16,13.1
20190516:0810,67.0,49.79,11.62,3.52,0.0,4.52,13.7
20190516:0910,88.0,60.53,11.14,3.93,0.0,5.05,13.9
20190516:1010,179.0,68.75,10.72,4.14,0.0,5.32,16.3
20190516:1110,143.0,70.67,10.93,3.93,0.0,5.05,15.4
20190516:1210,832.0,64.78,11.67,2.76,0.0,3.55,37.7
20190516:1310,78.0,54.87,12.0,1.31,0.0,1.68,14.4
20190516:1410,377.0,43.56,12.04,1.38,0.0,1.77,23.8
20190516:1510,155.0,31.81,12.09,2.55,0.0,3.28,16.9
20190516:1610,198.0,20.06,11.49,3.45,0.0,4.43,17.7
20190516:1710,81.0,8.58,11.55,3.52,0.0,4.52,14.1
20190516:1810,0.0,0.0,11.2,3.24,0.0,4.16,11.2
20190516:1910,0.0,0.0,10.87,3.24,0.0,4.16,10.9
20190516:2010,0.0,0.0,10.68,3.1,0.0,3.98,10.7
20190516:2110,0.0,0.0,10.49,2.83,0.0,3.64,10.5
20190516:2210,0.0,0.0,10.23,2.48,0.0,3.19,10.2
20190516:2310,0.0,0.0,10.12,2.34,0.0,3.01,10.1
20190517:0010,0.0,0.0,9.89,2.34,0.0,3.01,9.9
20190517:0110,0.0,0.0,9.99,2.28,0.0,2.93,10.0
20190517:0210,0.0,0.0,9.78,2.14,0.0,2.75,9.8
20190517:0310,0.0,0.0,9.78,1.79,0.0,2.30,9.8
20190517:0410,19.0,3.64,9.7,1.38,0.0,1.77,10.3
20190517:0510,198.0,14.89,10.16,0.34,0.0,0.44,16.3
20190517:0610,394.0,26.54,11.86,0.34,0.0,0.44,24.2
20190517:0710,593.0,38.33,13.92,1.52,0.0,1.95,32.5
20190517:0810,754.0,49.92,14.96,1.86,0.0,2.39,38.5
20190517:0910,899.0,60.69,15.72,2.28,0.0,2.93,43.8
20190517:1010,932.0,68.95,16.22,2.69,0.0,3.46,45.3
20190517:1110,978.01,70.89,16.35,3.03,0.0,3.89,46.9
20190517:1210,930.0,64.96,16.95,3.38,0.0,4.34,46.0
20190517:1310,826.0,55.02,17.06,3.52,0.0,4.52,42.9
20190517:1410,681.0,43.69,16.8,3.59,0.0,4.61,38.1
20190517:1510,491.0,31.94,16.11,3.66,0.0,4.70,31.5
20190517:1610,288.0,20.19,15.02,3.52,0.0,4.52,24.0
